,NAME_3,price(million)
784,Leling,130658.09250000001
785,Leping,241880.33
786,Leting,379085.3986000001
787,Leye,9881.113599999997
788,Lezhi,514105.5935999998
789,Li,1414202.4343999992
790,Liancheng,107382.64089999998
791,Liangcheng,13920.3459
792,Liangdang,870.3249999999999
793,Lianghe,13230.334499999994
794,Liangshan,191844.30800000005
795,Liangzhou,182991.25400000004
796,Lianhua,28103.93
797,Lianjiang,1132540.7964000003
798,Liannan Yao,11909.3147
799,Lianping,22975.264
800,Lianshui,1043896.8097999999
801,Lianyungang,2689375.1950000003
802,Lianzhou,58684.0974
803,Liaocheng,17781.420100000003
804,Liaoyuan,129312.28679999996
805,Liaozhong,208728.87990000012
806,Libo,82722.73
807,Licheng,28076.031800000008
808,Lichuan,317933.9435000001
809,Lijiang,85726.193
810,Lijin,158386.0
811,Liling,392629.56059999997
812,Lin,626365.4454999998
813,Lin'an,662171.9479000004
814,Lincang,775.0
815,Lincheng,63190.594000000005
816,Linchuan,878154.8193000001
817,Lindian,14143.665100000004
818,Linfen,210289.5921
819,Ling,1666551.9738000003
820,Lingbao,155014.93
821,Lingbi,190863.68759999995
822,Lingchuan,394012.61159999925
823,Lingqiu,40644.0
824,Lingshan,137803.87639999995
825,Lingshi,68963.96900000004
826,Lingshou,56891.36759999999
827,Lingshui Li,906206.0716000005
828,Lingtai,1859.9299999999998
829,Lingui,267095.4694000002
830,Lingwu,145745.66959999996
831,Lingyuan,345971.6731
832,Lingyun,13381.251899999997
833,Linhai,896280.2553999999
834,Linhe,273177.04190000007
835,Linjiang,11709.780999999997
836,Linkou,302676.67660000006
837,Linqing,175654.30690000003
838,Linqu,496825.139
839,Linquan,545465.5431999998
840,Linru,1075243.3416000004
841,Linshu,371095.0131999999
842,Linshui,163157.75819999998
843,Lintan,353.18339999999995
844,Lintao,70111.20940000002
845,Linxi,130051.00470000005
846,Linxia,206670.2
847,Linxia Shi,206670.2
848,Linyi,585792.4793
849,Linying,183920.04470000003
850,Linyou,9289.120500000003
851,Linze,60338.56450000004
852,Linzhang,97244.01999999996
853,Liping,106786.78159999991
854,Liquan,34012.4176
855,Lishi,38587.4069
856,Lishu,94222.55459999997
857,Lishui,3081196.8082000017
858,Liuba,1893.3211
859,Liucheng,53947.949
860,Liuhe,132791.0988
861,Liujiang,291904.62400000007
862,Liulin,41860.47999999998
863,Liuzhi,152701.9346
864,Liuzhou,4036781.3133000014
865,Lixin,739275.1924999999
866,Liyang,6235830.787299998
867,Long,56306.0
868,Long'an,56896.130300000026
869,Longchang,347176.0178999998
870,Longchuan,21711.769199999995
871,Longde,34217.8215
872,Longfang,1800754.9176999996
873,Longhai,1881723.2943000002
874,Longhua,135051.78589999996
875,Longjiang,553882.7999999997
876,Longjing,26672.86920000001
877,Longkou,536718.4403999998
878,Longli,592965.6798000006
879,Longlin Various Nationalities,23207.91700000001
880,Longling,50076.66450000001
881,Longmen,122375.26880000006
882,Longnan,55967.95959999999
883,Longquan,243231.76949999994
884,Longsheng Various Nationalities,24141.657399999993
885,Longwan,1357531.7393000002
886,Longxi,99954.37699999998
887,Longyao,60193.37820000001
888,Longyou,460538.4523
889,Longzhou,43462.532499999994
890,Lop,7607.8978
891,Loufan,26180.8891
892,Lu,255846.3107000003
893,Lu An,3005249.9358999995
894,Luan,225615.53979999988
895,Luancheng,272026.06169999996
896,Luanchuan,55778.909999999996
897,Luannan,231569.42369999996
898,Luanping,157920.45050000004
899,Lucheng,84513.15
900,Luchuan,186637.52780000004
901,Ludian,8603.222399999999
902,Luding,5267.6365000000005
903,Lueyang,34577.47510000001
904,Lufeng,164888.6172999998
905,Luhe,645876.6607999996
906,Lujiang,459844.4738999999
907,Luliang,119376.1504
908,Lulong,75359.71509999993
909,Lunan,9105662.124799997
910,Lungchuan,84708.07489999996
911,Luntai,20405.172599999998
912,Luobei,17124.885400000006
913,Luocheng Mulao,53386.9589
914,Luochuan,83061.3244
915,Luodian,95285.29000000001
